,name,type,category,power,accuracy,pp,description,probability%
251,Fire Lash,Fire,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">The user strikes the target with a burning lash. This also lowers the target's Defense stat.</td>","<td class=""cell-num"">100</td>"
252,Fire Pledge,Fire,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Added effects appear if combined with Grass Pledge or Water Pledge.</td>","<td class=""cell-num"">—</td>"
253,Fire Punch,Fire,Physical,"<td class=""cell-num"">75</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May burn opponent.</td>","<td class=""cell-num"">10</td>"
254,Fire Spin,Fire,Special,"<td class=""cell-num"">35</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>","<td class=""cell-num"">100</td>"
255,First Impression,Bug,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Although this move has great power, it only works the first turn the user is in battle.</td>","<td class=""cell-num"">—</td>"
256,Fishious Rend,Water,Physical,"<td class=""cell-num"">85</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">If the user attacks before the target, the power of this move is doubled.</td>","<td class=""cell-num"">—</td>"
257,Fissure,Ground,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">One-Hit-KO, if it hits.</td>","<td class=""cell-num"">—</td>"
258,Flail,Normal,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">The lower the user's HP, the higher the power.</td>","<td class=""cell-num"">—</td>"
259,Flame Burst,Fire,Special,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May also injure nearby Pokémon.</td>","<td class=""cell-num"">—</td>"
260,Flame Charge,Fire,Physical,"<td class=""cell-num"">50</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Raises user's Speed.</td>","<td class=""cell-num"">100</td>"
261,Flame Wheel,Fire,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">25</td>","<td class=""cell-long-text"">May burn opponent.</td>","<td class=""cell-num"">10</td>"
262,Flamethrower,Fire,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May burn opponent.</td>","<td class=""cell-num"">10</td>"
263,Flare Blitz,Fire,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">User receives recoil damage. May burn opponent.</td>","<td class=""cell-num"">10</td>"
264,Flash,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Lowers opponent's Accuracy.</td>","<td class=""cell-num"">—</td>"
265,Flash Cannon,Steel,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May lower opponent's Special Defense.</td>","<td class=""cell-num"">10</td>"
266,Flatter,Dark,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Confuses opponent, but raises its Special Attack.</td>","<td class=""cell-num"">—</td>"
267,Fleur Cannon,Fairy,Special,"<td class=""cell-num"">130</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Sharply lowers user's Special Attack.</td>","<td class=""cell-num"">100</td>"
268,Fling,Dark,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Power depends on held item.</td>","<td class=""cell-num"">—</td>"
269,Flip Turn,Water,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">After making its attack, the user rushes back to switch places with a party Pokémon in waiting.</td>","<td class=""cell-num"">—</td>"
270,Floaty Fall,Flying,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">30</td>"
271,Floral Healing,Fairy,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.</td>","<td class=""cell-num"">—</td>"
272,Flower Shield,Fairy,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Sharply raises Defense of all Grass-type Pokémon on the field.</td>","<td class=""cell-num"">100</td>"
273,Flower Trick,Grass,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Never misses; always results in a critical hit.</td>","<td class=""cell-num"">—</td>"
274,Fly,Flying,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Flies up on first turn, attacks on second turn.</td>","<td class=""cell-num"">—</td>"
275,Flying Press,Fighting,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Deals Fighting and Flying type damage.</td>","<td class=""cell-num"">—</td>"
276,Focus Blast,Fighting,Special,"<td class=""cell-num"">120</td>","<td class=""cell-num"">70</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May lower opponent's Special Defense.</td>","<td class=""cell-num"">10</td>"
277,Focus Energy,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Increases critical hit ratio.</td>","<td class=""cell-num"">—</td>"
278,Focus Punch,Fighting,Physical,"<td class=""cell-num"">150</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">If the user is hit before attacking, it flinches instead.</td>","<td class=""cell-num"">—</td>"
279,Follow Me,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">In Double Battle, the user takes all the attacks.</td>","<td class=""cell-num"">—</td>"
280,Force Palm,Fighting,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May paralyze opponent.</td>","<td class=""cell-num"">30</td>"
281,Foresight,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.</td>","<td class=""cell-num"">—</td>"
282,Forest's Curse,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Adds Grass type to opponent.</td>","<td class=""cell-num"">—</td>"
283,Foul Play,Dark,Physical,"<td class=""cell-num"">95</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Uses the opponent's Attack stat.</td>","<td class=""cell-num"">—</td>"
284,Freeze Shock,Ice,Physical,"<td class=""cell-num"">140</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Charges on first turn, attacks on second. May paralyze opponent.</td>","<td class=""cell-num"">30</td>"
285,Freeze-Dry,Ice,Special,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">May freeze opponent. Super-effective against Water types.</td>","<td class=""cell-num"">10</td>"
286,Freezing Glare,Psychic,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May freeze opponent.</td>","<td class=""cell-num"">10</td>"
287,Freezy Frost,Ice,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Resets all stat changes.</td>","<td class=""cell-num"">—</td>"
288,Frenzy Plant,Grass,Special,"<td class=""cell-num"">150</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User must recharge next turn.</td>","<td class=""cell-num"">—</td>"
289,Frost Breath,Ice,Special,"<td class=""cell-num"">60</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Always results in a critical hit.</td>","<td class=""cell-num"">100</td>"
290,Frustration,Normal,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Power decreases with higher Friendship.</td>","<td class=""cell-num"">—</td>"
291,Fury Attack,Normal,Physical,"<td class=""cell-num"">15</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>","<td class=""cell-num"">—</td>"
292,Fury Cutter,Bug,Physical,"<td class=""cell-num"">40</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Power increases each turn.</td>","<td class=""cell-num"">—</td>"
293,Fury Swipes,Normal,Physical,"<td class=""cell-num"">18</td>","<td class=""cell-num"">80</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>","<td class=""cell-num"">—</td>"
294,Fusion Bolt,Electric,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Power increases if Fusion Flare is used in the same turn.</td>","<td class=""cell-num"">—</td>"
295,Fusion Flare,Fire,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Power increases if Fusion Bolt is used in the same turn.</td>","<td class=""cell-num"">—</td>"
296,Future Sight,Psychic,Special,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Damage occurs 2 turns later.</td>","<td class=""cell-num"">—</td>"
297,G-Max Befuddle,Bug,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.</td>","<td class=""cell-num"">100</td>"
298,G-Max Cannonade,Water,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.</td>","<td class=""cell-num"">—</td>"
299,G-Max Centiferno,Fire,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.</td>","<td class=""cell-num"">100</td>"
300,G-Max Chi Strike,Fighting,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Machamp-exclusive G-Max Move. Increases critical hit ratio.</td>","<td class=""cell-num"">—</td>"
301,G-Max Cuddle,Normal,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Eevee-exclusive G-Max Move. Infatuates opponents.</td>","<td class=""cell-num"">100</td>"
302,G-Max Depletion,Dragon,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Duraludon-exclusive G-Max Move. Reduces opponent's PP.</td>","<td class=""cell-num"">—</td>"
303,G-Max Drum Solo,Grass,,"<td class=""cell-num"">160</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Rillaboom-exclusive G-Max Move. Ignores target's ability.</td>","<td class=""cell-num"">—</td>"
304,G-Max Finale,Fairy,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Alcremie-exclusive G-Max Move. Heals the user's team.</td>","<td class=""cell-num"">—</td>"
305,G-Max Fireball,Fire,,"<td class=""cell-num"">160</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Cinderace-exclusive G-Max Move. Ignores target's ability.</td>","<td class=""cell-num"">—</td>"
306,G-Max Foam Burst,Water,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.</td>","<td class=""cell-num"">100</td>"
307,G-Max Gold Rush,Normal,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Meowth-exclusive G-Max Move. Confuses opponents and earns more money.</td>","<td class=""cell-num"">100</td>"
308,G-Max Gravitas,Psychic,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.</td>","<td class=""cell-num"">—</td>"
309,G-Max Hydrosnipe,Water,,"<td class=""cell-num"">160</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Inteleon-exclusive G-Max Move. Ignores target's ability.</td>","<td class=""cell-num"">—</td>"
310,G-Max Malodor,Poison,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Garbodor-exclusive G-Max Move. Poisons opponents.</td>","<td class=""cell-num"">100</td>"
311,G-Max Meltdown,Steel,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.</td>","<td class=""cell-num"">—</td>"
312,G-Max One Blow,Dark,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.</td>","<td class=""cell-num"">—</td>"
313,G-Max Rapid Flow,Water,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.</td>","<td class=""cell-num"">—</td>"
314,G-Max Replenish,Normal,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Snorlax-exclusive G-Max Move. Recycles Berries.</td>","<td class=""cell-num"">—</td>"
315,G-Max Resonance,Ice,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Lapras-exclusive G-Max Move. Reduces damage for 5 turns.</td>","<td class=""cell-num"">—</td>"
316,G-Max Sandblast,Ground,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.</td>","<td class=""cell-num"">100</td>"
317,G-Max Smite,Fairy,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Hatterene-exclusive G-Max Move. Confuses opponents.</td>","<td class=""cell-num"">100</td>"
318,G-Max Snooze,Dark,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.</td>","<td class=""cell-num"">—</td>"
319,G-Max Steelsurge,Steel,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Copperajah-exclusive G-Max Move. Sets up Spikes on the field.</td>","<td class=""cell-num"">—</td>"
320,G-Max Stonesurge,Water,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Drednaw-exclusive G-Max Move. Sets up Stealth Rock.</td>","<td class=""cell-num"">—</td>"
321,G-Max Stun Shock,Electric,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.</td>","<td class=""cell-num"">100</td>"
322,G-Max Sweetness,Grass,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Appletun-exclusive G-Max Move. Heals status conditions of user's team.</td>","<td class=""cell-num"">—</td>"
323,G-Max Tartness,Grass,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.</td>","<td class=""cell-num"">100</td>"
324,G-Max Terror,Ghost,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Gengar-exclusive G-Max Move. Prevents opponent from switching out.</td>","<td class=""cell-num"">—</td>"
325,G-Max Vine Lash,Grass,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.</td>","<td class=""cell-num"">—</td>"
326,G-Max Volcalith,Rock,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Coalossal-exclusive G-Max Move. Deals damage for 4 turns.</td>","<td class=""cell-num"">100</td>"
327,G-Max Volt Crash,Electric,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Pikachu-exclusive G-Max Move. Paralyzes opponents.</td>","<td class=""cell-num"">100</td>"
328,G-Max Wildfire,Fire,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.</td>","<td class=""cell-num"">100</td>"
329,G-Max Wind Rage,Flying,,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Corviknight-exclusive G-Max Move. Removes battlefield hazards.</td>","<td class=""cell-num"">—</td>"
330,Gastro Acid,Poison,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Cancels out the effect of the opponent's Ability.</td>","<td class=""cell-num"">—</td>"
331,Gear Grind,Steel,Physical,"<td class=""cell-num"">50</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Hits twice in one turn.</td>","<td class=""cell-num"">—</td>"
332,Gear Up,Steel,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.</td>","<td class=""cell-num"">—</td>"
333,Genesis Supernova,Psychic,Special,"<td class=""cell-num"">185</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Mew-exclusive Z-Move.</td>","<td class=""cell-num"">—</td>"
334,Geomancy,Fairy,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.</td>","<td class=""cell-num"">—</td>"
335,Giga Drain,Grass,Special,"<td class=""cell-num"">75</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>","<td class=""cell-num"">—</td>"
336,Giga Impact,Normal,Physical,"<td class=""cell-num"">150</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User must recharge next turn.</td>","<td class=""cell-num"">—</td>"
337,Gigaton Hammer,Steel,Physical,"<td class=""cell-num"">160</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Cannot be used twice in a row.</td>","<td class=""cell-num"">—</td>"
338,Gigavolt Havoc,Electric,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Electric type Z-Move.</td>","<td class=""cell-num"">—</td>"
339,Glacial Lance,Ice,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.</td>","<td class=""cell-num"">—</td>"
340,Glaciate,Ice,Special,"<td class=""cell-num"">65</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Lowers opponent's Speed.</td>","<td class=""cell-num"">100</td>"
341,Glaive Rush,Dragon,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.</td>","<td class=""cell-num"">—</td>"
342,Glare,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Paralyzes opponent.</td>","<td class=""cell-num"">—</td>"
343,Glitzy Glow,Psychic,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Reduces damage from Special attacks.</td>","<td class=""cell-num"">—</td>"
344,Grass Knot,Grass,Special,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">The heavier the opponent, the stronger the attack.</td>","<td class=""cell-num"">—</td>"
345,Grass Pledge,Grass,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.</td>","<td class=""cell-num"">—</td>"
346,Grass Whistle,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">55</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Puts opponent to sleep.</td>","<td class=""cell-num"">—</td>"
347,Grassy Glide,Grass,Physical,"<td class=""cell-num"">55</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">High priority during Grassy Terrain.</td>","<td class=""cell-num"">—</td>"
348,Grassy Terrain,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Restores a little HP of all Pokémon for 5 turns. </td>","<td class=""cell-num"">—</td>"
349,Grav Apple,Grass,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Lowers the opponent's Defense stat.</td>","<td class=""cell-num"">100</td>"
350,Gravity,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.</td>","<td class=""cell-num"">—</td>"
351,Growl,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Lowers opponent's Attack.</td>","<td class=""cell-num"">—</td>"
352,Growth,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Raises user's Attack and Special Attack.</td>","<td class=""cell-num"">—</td>"
353,Grudge,Ghost,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">If the users faints after using this move, the PP for the opponent's last move is depleted.</td>","<td class=""cell-num"">—</td>"
354,Guard Split,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Averages Defense and Special Defense with the target.</td>","<td class=""cell-num"">—</td>"
355,Guard Swap,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User and opponent swap Defense and Special Defense.</td>","<td class=""cell-num"">—</td>"
356,Guardian of Alola,Fairy,Special,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Tapu-exclusive Z-move. Cuts opponent's HP by 75%.</td>","<td class=""cell-num"">—</td>"
357,Guillotine,Normal,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">One-Hit-KO, if it hits.</td>","<td class=""cell-num"">—</td>"
358,Gunk Shot,Poison,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">80</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May poison opponent.</td>","<td class=""cell-num"">30</td>"
359,Gust,Flying,Special,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">35</td>","<td class=""cell-long-text"">Hits Pokémon using Fly/Bounce/Sky Drop with double power.</td>","<td class=""cell-num"">—</td>"
360,Gyro Ball,Steel,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">The slower the user, the stronger the attack.</td>","<td class=""cell-num"">—</td>"
361,Hail,Ice,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Non-Ice types are damaged for 5 turns.</td>","<td class=""cell-num"">—</td>"
